station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_dir_deg,avg_wind_speed_kmh,avg_sea_level_pres_hpa
13588,Skopje,2021-01-01,Winter,5.1,0.5,13.2,0.0,330.0,5.9,1021.2
13588,Skopje,2021-01-02,Winter,3.0,-2.6,11.2,0.0,330.0,5.9,1021.2
13588,Skopje,2021-01-03,Winter,6.8,3.5,12.5,1.3,339.0,8.0,1017.8
13588,Skopje,2021-01-04,Winter,6.6,6.1,7.2,3.6,298.0,5.3,1011.3
13588,Skopje,2021-01-05,Winter,4.3,2.3,6.7,4.6,11.0,5.1,1014.5
13588,Skopje,2021-01-06,Winter,6.2,2.6,11.0,0.0,18.0,6.7,1017.2
13588,Skopje,2021-01-07,Winter,7.3,4.1,9.3,0.5,0.0,4.5,1015.2
13588,Skopje,2021-01-08,Winter,5.7,4.2,8.1,7.9,346.0,6.5,1009.7
13588,Skopje,2021-01-09,Winter,2.9,1.5,5.4,8.1,300.0,5.9,1016.8
13588,Skopje,2021-01-10,Winter,2.2,1.3,3.1,6.1,354.0,4.7,1017.1
13588,Skopje,2021-01-11,Winter,3.3,2.1,5.0,26.2,338.0,6.7,1014.2
13588,Skopje,2021-01-12,Winter,2.4,-1.3,5.6,0.8,293.0,5.8,1013.5
13588,Skopje,2021-01-13,Winter,2.1,-1.1,7.6,0.0,294.0,6.0,1012.5
13588,Skopje,2021-01-14,Winter,-1.1,-4.0,0.7,0.0,224.0,6.3,1013.2
13588,Skopje,2021-01-15,Winter,-2.6,-6.7,2.3,0.0,233.0,5.5,1017.4
13588,Skopje,2021-01-16,Winter,-1.6,-6.2,1.4,0.0,290.0,7.7,1018.0
13588,Skopje,2021-01-17,Winter,-1.9,-7.1,2.0,0.4,207.0,4.6,1018.6
13588,Skopje,2021-01-18,Winter,-2.5,-4.5,2.1,0.0,258.0,4.4,1023.7
13588,Skopje,2021-01-19,Winter,-3.3,-8.5,3.7,0.0,261.0,4.8,1027.3
13588,Skopje,2021-01-20,Winter,-1.6,-7.4,5.3,0.0,24.0,5.9,1027.5
13588,Skopje,2021-01-21,Winter,1.7,-4.6,8.0,0.0,11.0,7.2,1025.7
13588,Skopje,2021-01-22,Winter,3.0,-1.6,8.4,0.0,15.0,7.0,1020.4
13588,Skopje,2021-01-23,Winter,6.7,3.5,10.8,0.0,7.0,7.6,1010.5
13588,Skopje,2021-01-24,Winter,5.3,0.6,9.7,1.3,44.0,7.2,1004.9
13588,Skopje,2021-01-25,Winter,8.8,3.9,13.3,6.6,304.0,8.3,1003.3
13588,Skopje,2021-01-26,Winter,3.6,0.5,10.7,0.3,315.0,11.1,1007.4
13588,Skopje,2021-01-27,Winter,1.2,-1.0,4.2,3.3,284.0,12.5,1012.8
13588,Skopje,2021-01-28,Winter,0.4,-11.7,6.4,0.0,254.0,5.1,1015.2
13588,Skopje,2021-01-29,Winter,2.9,-2.8,9.4,0.0,43.0,6.5,1010.2
13588,Skopje,2021-01-30,Winter,7.2,2.4,15.5,6.1,295.0,7.8,1003.5
13588,Skopje,2021-01-31,Winter,5.6,1.4,11.1,0.3,30.0,7.3,1003.3
13588,Skopje,2021-02-01,Winter,6.9,2.5,11.8,7.1,336.0,6.6,1002.7
13588,Skopje,2021-02-02,Winter,8.0,3.8,14.3,7.9,295.0,4.5,1012.1
13588,Skopje,2021-02-03,Winter,7.6,1.6,15.6,0.0,324.0,5.0,1017.5
13588,Skopje,2021-02-04,Winter,7.9,1.0,17.3,0.0,350.0,4.1,1018.4
13588,Skopje,2021-02-05,Winter,7.6,2.1,16.1,0.0,332.0,5.0,1020.3
13588,Skopje,2021-02-06,Winter,8.1,2.1,15.7,0.0,341.0,6.3,1016.9
13588,Skopje,2021-02-07,Winter,6.1,1.4,12.1,0.0,16.0,7.0,1011.6
13588,Skopje,2021-02-08,Winter,8.1,4.5,12.7,0.0,348.0,6.8,1002.5
13588,Skopje,2021-02-09,Winter,6.7,2.4,11.0,6.1,0.0,6.5,1008.4
13588,Skopje,2021-02-10,Winter,7.8,1.9,13.8,0.8,44.0,7.9,1009.7
13588,Skopje,2021-02-11,Winter,5.2,-0.7,10.2,8.9,339.0,5.8,1009.2
13588,Skopje,2021-02-12,Winter,-2.8,-6.2,2.0,0.0,169.0,3.2,1025.4
13588,Skopje,2021-02-13,Winter,-5.9,-7.6,-4.4,6.4,301.0,4.4,1030.0
13588,Skopje,2021-02-14,Winter,-6.1,-8.4,-3.1,6.1,286.0,9.7,1030.5
13588,Skopje,2021-02-15,Winter,-1.9,-6.1,2.6,0.0,281.0,8.5,1033.8
13588,Skopje,2021-02-16,Winter,2.8,-14.2,10.6,0.0,242.0,6.8,1029.6
13588,Skopje,2021-02-17,Winter,-1.9,-10.9,4.3,0.1,282.0,3.8,1024.2
13588,Skopje,2021-02-18,Winter,6.4,-1.5,12.2,0.0,262.0,8.0,1023.0
